Product_Name, Pricing, Ratings
APPLE iPhone 11 (Black| 64 GB),Rs.46999,4.6
APPLE iPhone 11 (Red| 64 GB),Rs.46999,4.6
Apple iPhone XR (White| 128 GB) (Includes EarPods| Power Adapter),Rs.46999,4.6
APPLE iPhone SE (White| 128 GB),Rs.37999,4.5
APPLE iPhone 12 Mini (Blue| 128 GB),Rs.70900,4.5
APPLE iPhone 12 (Blue| 64 GB),Rs.77900,4.6
APPLE iPhone 12 (White| 128 GB),Rs.82900,4.6
APPLE iPhone 12 (Green| 128 GB),Rs.82900,4.6
APPLE iPhone 12 (Black| 128 GB),Rs.82900,4.6
APPLE iPhone 12 (Green| 64 GB),Rs.77900,4.6
